No,종목코드,종목명,수량(주),평가금액(원),비중(%),1주 수익률
1,005490,POSCO홀딩스,84,"27,888,000",5.62,2
2,011780,금호석유,164,"26,092,400",5.26,12.04
3,005940,NH투자증권,"2,466","22,810,500",4.6,-2.22
4,016360,삼성증권,679,"22,169,350",4.47,-1.51
5,071050,한국금융지주,364,"21,767,200",4.39,-0.83
6,003540,대신증권,"1,516","19,753,480",3.98,-2.62
7,007070,GS리테일,646,"19,541,500",3.94,1
8,001800,오리온홀딩스,"1,208","19,086,400",3.85,-0.06
9,039490,키움증권,170,"17,612,000",3.55,-0.38
10,010130,고려아연,27,"16,443,000",3.31,10.53
11,003550,LG,197,"16,114,600",3.25,1.11
12,018670,SK가스,119,"14,934,500",3.01,0.4
13,069260,TKG휴켐스,741,"14,531,010",2.93,2.94
14,023590,다우기술,607,"13,384,350",2.7,-2
15,000270,기아,180,"13,410,000",2.7,2.62
16,001680,대상,620,"12,263,600",2.47,-2.56
17,000210,DL,183,"10,851,900",2.19,3.85
18,001040,CJ,131,"10,650,300",2.15,1.25
19,034730,SK,56,"10,309,600",2.08,-1.18
20,042700,한미반도체,560,"8,663,200",1.75,-3.25
21,005930,삼성전자,137,"8,370,700",1.69,-1.77
22,004000,롯데정밀화학,140,"8,316,000",1.68,3.12
23,012330,현대모비스,38,"8,132,000",1.64,1.18
24,084690,대상홀딩스,"1,051","8,082,190",1.63,-2.04
25,005440,현대그린푸드,"1,126","7,724,360",1.56,-1.15
26,007310,오뚜기,16,"7,040,000",1.42,-4.76
27,139480,이마트,53,"6,259,300",1.26,2.25
28,086280,현대글로비스,38,"6,080,000",1.22,0
29,120110,코오롱인더,128,"6,073,600",1.22,6.15
30,003230,삼양식품,44,"5,341,600",1.08,-3.11
31,051900,LG생활건강,8,"5,368,000",1.08,-2.33
32,009240,한샘,112,"5,196,800",1.05,2.43
33,036570,엔씨소프트,11,"4,840,000",0.98,7.45
34,000020,동화약품,527,"4,806,240",0.97,-1.62
35,026890,스틱인베스트먼트,738,"4,523,940",0.91,0.33
36,097950,CJ제일제당,14,"4,466,000",0.9,-3.19
37,025540,한국단자,77,"4,342,800",0.87,-4.41
38,185750,종근당,49,"3,929,800",0.79,-0.12
39,069960,현대백화점,70,"3,885,000",0.78,-0.72
40,161890,한국콜마,86,"3,569,000",0.72,-2.47
41,024720,한국콜마홀딩스,206,"3,328,960",0.67,-2.83
42,009450,경동나비엔,83,"3,137,400",0.63,5.88
43,014830,유니드,39,"3,139,500",0.63,0.25
44,014680,한솔케미칼,14,"2,905,000",0.59,-1.43
45,011070,LG이노텍,10,"2,860,000",0.58,3.81
46,003850,보령,276,"2,495,040",0.5,0
47,031430,신세계인터내셔날,94,"2,190,200",0.44,-1.89
48,011790,SKC,20,"1,888,000",0.38,5.24
49,000490,대동,135,"1,717,200",0.35,5.39
50,035420,NAVER,3,"634,500",0.13,-1.86
51,0,원화예금,"17,463,754","17,463,754",3.52,-
