Name,BPS,PER,PBR,EPS,DIV,DPS
일성신약,60174.0,1.53,0.36,14122.0,18.54,4005.0
LX인터내셔널,62867.0,2.03,0.46,14325.0,10.29,3000.0
금호건설,15149.0,8.93,0.35,587.0,9.54,500.0
우리금융지주,39505.0,2.87,0.3,4191.0,9.41,1130.0
바이오노트,15707.0,1.59,0.33,3277.0,9.4,490.0
BNK금융지주,30468.0,2.87,0.23,2404.0,9.06,625.0
GS건설,56917.0,3.61,0.25,3997.0,9.02,1300.0
동아타이어,27514.0,6.43,0.41,1747.0,8.9,1000.0
기업은행,36302.0,3.28,0.3,3320.0,8.82,960.0
한양증권,36091.0,5.04,0.26,1858.0,8.55,800.0
DGB금융지주,31812.0,3.39,0.24,2266.0,8.45,650.0
대신증권,40616.0,8.22,0.35,1750.0,8.34,1200.0
하나금융지주,124935.0,3.43,0.32,11803.0,8.27,3350.0
삼성카드,73934.0,5.26,0.42,5831.0,8.14,2500.0
JB금융지주,23551.0,3.43,0.44,2996.0,8.12,835.0
동부건설,25542.0,3.64,0.25,1737.0,7.91,500.0
쌍용C&E,3172.0,22.17,1.77,254.0,7.82,440.0
한국쉘석유,86889.0,11.26,2.66,20555.0,7.78,18000.0
신원,2866.0,5.77,0.45,224.0,7.74,100.0
디씨엠,28881.0,2.84,0.4,4097.0,7.74,900.0
에스디바이오센서,28794.0,1.44,0.45,8997.0,7.64,990.0
화천기공,156939.0,1.99,0.22,17039.0,7.36,2500.0
한국토지신탁,4503.0,11.58,0.27,106.0,7.33,90.0
HMM,42300.0,0.8,0.39,20556.0,7.26,1200.0
한일홀딩스,46069.0,3.82,0.24,2904.0,7.22,800.0
광주신세계,99270.0,4.28,0.31,7157.0,7.19,2200.0
신영증권,177863.0,5.2,0.32,10783.0,7.13,4000.0
한국자산신탁,7620.0,3.5,0.41,885.0,7.1,220.0
S-Oil,75353.0,4.29,1.03,18075.0,7.09,5500.0
효성,128334.0,80.79,0.49,786.0,7.09,4500.0
휴스틸,16181.0,0.89,0.31,5675.0,6.93,350.0
NH투자증권,21824.0,11.49,0.46,881.0,6.92,700.0
유수홀딩스,13726.0,4.76,0.42,1218.0,6.9,400.0
부국증권,116987.0,4.66,0.19,4736.0,6.8,1500.0
SK텔레콤,51911.0,11.87,0.94,4118.0,6.79,3320.0
케이카,5112.0,17.8,2.2,631.0,6.77,760.0
세아특수강,40593.0,6.79,0.37,2185.0,6.74,1000.0
아이마켓코리아,11376.0,12.8,0.79,706.0,6.64,600.0
HS애드,10892.0,5.61,0.55,1077.0,6.62,400.0
한솔제지,31224.0,3.42,0.34,3104.0,6.59,700.0
HD현대,105921.0,3.56,0.67,19933.0,6.48,4600.0
현대차증권,38617.0,3.21,0.22,2654.0,6.46,550.0
SGC에너지,48174.0,3.29,0.55,8093.0,6.38,1700.0
텔코웨어,19820.0,13.68,0.47,688.0,6.38,600.0
KPX케미칼,122776.0,7.21,0.35,6015.0,6.34,2750.0
LG유플러스,18996.0,6.67,0.54,1543.0,6.32,650.0
제이에스코퍼레이션,20205.0,2.63,0.67,5118.0,6.32,850.0
KT,64880.0,5.97,0.48,5209.0,6.3,1960.0
GS,133899.0,1.76,0.3,22634.0,6.29,2500.0
AJ네트웍스,8076.0,21.34,0.53,201.0,6.29,270.0
대덕,17890.0,11.73,0.36,549.0,6.21,400.0
현대해상,53896.0,4.5,0.59,7099.0,6.15,1965.0
KPX홀딩스,210854.0,21.55,0.23,2267.0,6.14,3000.0
E1,249560.0,2.39,0.24,24536.0,6.13,3600.0
진양홀딩스,6258.0,7.32,0.53,452.0,6.04,200.0
제일기획,11967.0,9.95,1.59,1913.0,6.04,1150.0
효성ITX,5956.0,9.94,2.09,1254.0,6.01,750.0
한국주철관,15912.0,12.04,0.42,559.0,5.94,400.0
신라교역,35416.0,9.37,0.24,899.0,5.94,500.0
롯데정밀화학,90075.0,10.3,0.66,5738.0,5.92,3500.0
KCC글라스,90484.0,6.91,0.45,5894.0,5.9,2400.0
HDC현대산업개발,43919.0,13.35,0.23,764.0,5.88,600.0
롯데지주,100489.0,10.7,0.25,2387.0,5.87,1500.0
자이에스앤디,12735.0,2.09,0.4,2447.0,5.86,300.0
대한제강,38135.0,2.03,0.35,6605.0,5.83,780.0
하이트진로홀딩스,26118.0,6.01,0.33,1427.0,5.83,500.0
HDC랩스,11339.0,14.41,0.68,538.0,5.81,450.0
현대홈쇼핑,171103.0,5.95,0.26,7541.0,5.79,2600.0
한국앤컴퍼니,40622.0,6.43,0.28,1749.0,5.78,650.0
태영건설,19502.0,2.43,0.2,1607.0,5.77,225.0
CR홀딩스,21609.0,6.11,0.36,1279.0,5.75,450.0
신한지주,95206.0,4.25,0.38,8454.0,5.75,2065.0
스카이라이프,17321.0,13.06,0.35,470.0,5.7,350.0
HL홀딩스,102608.0,112.9,0.35,314.0,5.64,2000.0
KT&G,80114.0,10.47,1.11,8489.0,5.62,5000.0
현대지에프홀딩스,20860.0,5.95,0.18,640.0,5.51,210.0
삼호개발,9788.0,13.04,0.35,265.0,5.5,190.0
일신방직,39009.0,1.81,0.23,5047.0,5.49,500.0
한세예스24홀딩스,10535.0,8.47,0.44,543.0,5.43,250.0
KB금융,124124.0,4.97,0.44,10955.0,5.42,2950.0
LX세미콘,58432.0,5.86,1.44,14368.0,5.34,4500.0
화승인더,6884.0,207.35,0.51,17.0,5.33,188.0
DB손해보험,89508.0,5.28,0.97,16373.0,5.32,4600.0
대현,5480.0,3.61,0.38,574.0,5.3,110.0
코리안리,22976.0,7.16,0.35,1132.0,5.3,430.0
동일산업,192642.0,5.63,0.29,10085.0,5.28,3000.0
삼성화재,276525.0,8.8,0.96,30113.0,5.21,13800.0
세아베스틸지주,52580.0,8.98,0.44,2572.0,5.19,1200.0
이노션,42482.0,11.91,0.99,3530.0,5.11,2150.0
SK가스,260823.0,4.5,0.49,28644.0,5.04,6500.0
한국철강,20372.0,2.91,0.29,2055.0,5.03,300.0
LF,51612.0,2.61,0.27,5351.0,5.02,700.0
인터지스,8867.0,2.2,0.27,1092.0,5.0,120.0
삼양홀딩스,240995.0,7.64,0.29,9173.0,4.99,3500.0
한국전자홀딩스,3242.0,2.76,0.31,369.0,4.9,50.0
유화증권,10892.0,33.51,0.21,67.0,4.9,110.0
하이트진로,16906.0,15.57,1.15,1250.0,4.88,950.0
삼영무역,26238.0,4.04,0.47,3054.0,4.86,600.0
인천도시가스,48520.0,8.69,0.53,2956.0,4.86,1250.0
TYM,7778.0,2.76,0.8,2262.0,4.81,300.0
