구 분,"투자자예탁금
(장내파생상품 
 거래예수금제외)","장내파생상품 
거래 예수금","대고객 환매 
조건부 채권(RP) 
매도잔고",위탁매매 미수금,"위탁매매 미수금 
대비 실제 
반대매매금액","미수금 대비 
반대매매비중(%)"
2023/04/26,"53,487,909","12,062,271","76,605,503","271,116","35,074",13.7
2023/04/25,"53,771,676","12,184,603","76,435,711","256,854","19,366",8.1
2023/04/24,"53,347,497","12,300,099","77,049,987","239,840","16,064",7.1
2023/04/21,"53,200,764","12,207,994","76,900,516","227,446","15,504",6.8
2023/04/20,"52,647,865","12,094,610","76,546,491","227,891","14,251",7.1
2023/04/19,"52,093,290","12,129,488","76,079,354","201,216","11,590",6.0
2023/04/18,"53,630,412","12,074,397","76,086,593","192,880","11,591",5.1
2023/04/17,"52,883,672","12,065,066","76,426,044","229,005","12,004",4.7
2023/04/14,"52,398,732","12,018,590","75,803,687","254,331","19,089",8.7
2023/04/13,"53,610,131","12,068,388","75,456,816","219,688","16,962",8.3
2023/04/12,"52,400,871","12,200,382","75,117,738","203,335","12,154",6.2
2023/04/11,"53,157,855","12,091,000","74,788,347","195,791","13,986",5.7
2023/04/10,"49,681,868","11,923,105","74,639,221","243,263","12,398",6.0
2023/04/07,"51,022,512","11,877,778","74,777,453","205,384","19,395",9.2
2023/04/06,"50,333,107","11,842,082","74,421,986","210,207","12,751",6.2
2023/04/05,"49,118,095","11,620,909","73,624,816","205,995","13,724",6.5
2023/04/04,"50,530,732","11,485,850","73,542,401","211,515","18,633",9.5
2023/04/03,"53,050,470","10,863,171","72,419,678","196,014","13,318",7.2
2023/03/31,"50,601,820","10,635,869","68,407,653","185,122","30,768",15.3
2023/03/30,"48,687,115","10,620,527","71,588,372","201,565","26,579",12.6
2023/03/29,"48,314,836","10,701,684","72,248,107","210,992","24,164",11.6
2023/03/28,"49,230,204","10,786,772","72,072,195","208,631","25,919",11.2
2023/03/27,"50,544,597","10,821,987","72,149,610","232,031","24,228",12.8
2023/03/24,"48,640,046","10,927,929","72,575,038","188,776","20,777",10.7
2023/03/23,"47,430,769","11,100,423","74,208,481","194,521","21,692",9.1
2023/03/22,"46,332,587","11,381,324","73,815,805","238,809","20,946",10.1
2023/03/21,"47,224,473","11,571,832","73,646,353","206,490","23,730",12.2
2023/03/20,"46,252,699","11,513,174","73,900,684","194,685","19,080",9.6
2023/03/17,"46,325,469","11,713,776","74,064,036","198,716","22,270",9.3
2023/03/16,"46,392,372","11,819,289","73,932,785","240,334","23,883",11.5
2023/03/15,"48,735,233","12,243,122","73,785,854","208,555","25,060",9.4
2023/03/14,"48,076,743","12,179,748","73,700,546","266,693","26,838",9.0
2023/03/13,"47,508,462","12,115,368","73,909,550","296,630","30,121",12.5
2023/03/10,"48,325,432","11,946,208","73,820,540","240,236","23,202",11.3
2023/03/09,"49,880,760","11,969,276","73,443,105","204,949","22,886",12.4
2023/03/08,"48,911,904","12,032,345","72,526,362","184,743","18,929",10.4
2023/03/07,"49,588,452","11,862,158","72,228,828","182,219","26,608",14.3
2023/03/06,"48,327,842","11,858,705","71,668,303","186,626","18,114",10.4
2023/03/03,"45,646,459","11,787,523","71,634,648","174,014","17,533",10.3
2023/03/02,"48,526,247","11,805,108","71,479,821","169,642","22,411",13.7
2023/02/28,"47,739,760","11,800,159","70,837,272","163,712","12,525",6.6
2023/02/27,"47,382,594","11,908,130","70,798,628","189,750","10,746",5.6
2023/02/24,"46,665,038","11,744,812","70,857,716","190,204","10,992",6.5
2023/02/23,"46,877,879","11,785,166","70,641,232","169,662","18,867",11.2
2023/02/22,"47,643,368","11,852,603","70,038,117","169,024","10,779",5.9
2023/02/21,"46,199,830","11,811,926","70,219,755","182,739","12,748",6.9
2023/02/20,"46,860,104","11,909,376","70,755,037","185,047","12,064",5.5
2023/02/17,"45,886,568","11,940,177","70,641,974","217,424","12,147",7.1
2023/02/16,"47,733,228","12,099,394","70,308,189","170,320","11,778",5.8
2023/02/15,"47,437,046","12,092,474","70,267,598","203,422","12,943",6.5
2023/02/14,"48,019,527","11,981,121","70,211,566","200,063","13,615",7.3
2023/02/13,"47,625,352","12,107,334","70,302,239","185,365","12,945",7.3
2023/02/10,"47,084,169","12,116,624","70,101,648","177,813","10,059",5.5
