Name,BPS,PER,PBR,EPS,DIV,DPS
삼성전자,57822,8.76,1.22,8057,2.05,1444
LG에너지솔루션,80052,151.85,6.27,3306,0.0,0
SK하이닉스,92004,35.84,1.26,3242,1.03,1200
삼성바이오로직스,126233,63.36,5.74,11442,0.0,0
삼성전자우,0,0.0,0.0,0,2.53,1445
POSCO홀딩스,692323,13.27,0.79,41456,2.18,12000
현대차,407147,6.54,0.46,28521,3.75,7000
LG화학,445524,23.57,1.25,23670,1.79,10000
삼성SDI,251948,19.22,2.23,29191,0.18,1030
NAVER,151646,43.84,1.45,5007,0.42,914
기아,98117,5.79,0.8,13495,4.48,3500
포스코퓨처엠,31922,261.3,12.5,1527,0.08,300
현대모비스,410816,8.58,0.57,27163,1.72,4000
KB금융,124124,4.97,0.44,10955,5.42,2950
카카오,22893,15.6,2.12,3106,0.12,60
셀트리온,28937,39.11,5.07,3751,0.26,375
삼성물산,164524,8.69,0.66,12460,2.12,2300
신한지주,95206,4.25,0.38,8454,5.75,2065
LG전자,116599,15.0,0.85,6640,0.7,700
SK이노베이션,229593,9.09,0.72,18214,3.53,5840
삼성생명,124081,7.89,0.56,8817,4.31,3000
포스코인터내셔널,32288,16.05,2.38,4780,1.3,1000
LG,164082,6.77,0.51,12422,3.57,3000
삼성화재,276525,8.8,0.96,30113,5.21,13800
KT&G,80114,10.47,1.11,8489,5.62,5000
하나금융지주,124935,3.43,0.32,11803,8.27,3350
카카오뱅크,11988,44.76,2.06,553,0.32,80
한국전력,63158,0.0,0.29,0,0.0,0
메리츠금융지주,27050,6.55,2.04,8406,0.19,105
HD현대중공업,59566,0.0,2.13,0,0.0,0
삼성에스디에스,106311,9.81,1.31,14218,2.29,3200
SK,391404,7.53,0.38,19547,3.4,5000
두산에너빌리티,11146,0.0,1.5,0,0.0,0
SK텔레콤,51911,11.87,0.94,4118,6.79,3320
고려아연,455251,12.43,1.17,42967,3.75,20000
삼성전기,103702,10.8,1.35,12977,1.5,2100
하이브,66995,198.02,3.74,1265,0.0,0
우리금융지주,39505,2.87,0.3,4191,9.41,1130
S-Oil,75353,4.29,1.03,18075,7.09,5500
기업은행,36302,3.28,0.3,3320,8.82,960
HD한국조선해양,137382,0.0,0.87,0,0.0,0
대한항공,24426,4.77,0.94,4787,3.28,750
HMM,42300,0.8,0.39,20556,7.26,1200
KT,64880,5.97,0.48,5209,6.3,1960
한화오션,6945,0.0,4.99,0,0.0,0
크래프톤,108962,14.5,1.42,10666,0.0,0
아모레퍼시픽,82107,65.32,1.55,1949,0.53,680
삼성중공업,4209,0.0,1.97,0,0.0,0
LG생활건강,364213,33.09,1.28,14112,0.86,4000
금양,2188,0.0,56.95,0,0.0,0
SK바이오팜,4042,0.0,21.75,0,0.0,0
현대글로비스,183094,5.45,0.94,31729,3.3,5700
삼성엔지니어링,13741,9.51,2.35,3392,0.0,0
유한양행,28354,60.27,2.82,1329,0.5,400
DB손해보험,89508,5.28,0.97,16373,5.32,4600
현대오토에버,53924,52.48,4.04,4154,0.52,1140
한화에어로스페이스,56612,29.77,2.08,3964,0.85,1000
카카오페이,13583,108.72,3.26,407,0.0,0
롯데케미칼,404799,80.77,0.34,1716,2.53,3500
LG이노텍,180261,5.98,1.37,41406,1.68,4150
SK아이이테크놀로지,30501,0.0,2.68,0,0.0,0
한화솔루션,47292,17.83,0.71,1873,0.0,0
SK스퀘어,118972,21.94,0.34,1837,0.0,0
HD현대,105921,3.56,0.67,19933,6.48,4600
SK바이오사이언스,22683,45.55,3.21,1596,0.0,0
엔씨소프트,157391,11.58,1.58,21456,2.69,6680
두산밥캣,50136,8.27,1.06,6421,2.54,1350
맥쿼리인프라
한미반도체,4008,57.08,13.37,939,0.37,200
현대제철,142260,4.89,0.27,7736,2.65,1000
한온시스템,4190,240.0,2.18,38,3.95,360
한국항공우주,14648,41.07,3.41,1215,0.5,250
오리온,64606,12.35,1.9,9926,0.77,950
한국타이어앤테크놀로지,72196,6.85,0.54,5658,2.06,800
LG디스플레이,27611,0.0,0.48,0,0.0,0
LG유플러스,18996,6.67,0.54,1543,6.32,650
넷마블,66649,0.0,0.78,0,0.0,0
CJ제일제당,459670,7.99,0.65,37188,1.85,5500
F&F,24159,10.01,4.79,11571,1.38,1600
코스모신소재,8099,157.38,17.51,901,0.0,0
미래에셋증권,21818,6.59,0.31,1033,2.94,200
현대건설,69028,9.84,0.52,3637,1.68,600
한미약품,70131,46.4,4.4,6648,0.16,500
금호석유,234861,3.5,0.56,37290,4.13,5400
현대차2우B,0,0.0,0.0,0,6.9,7100
GS,133899,1.76,0.3,22634,6.29,2500
삼성카드,73934,5.26,0.42,5831,8.14,2500
현대미포조선,53525,0.0,1.67,0,0.0,0
호텔신라,14543,0.0,6.03,0,0.23,200
강원랜드,16846,27.98,0.95,570,2.19,350
NH투자증권,21824,11.49,0.46,881,6.92,700
삼성증권,69383,7.92,0.54,4730,4.54,1700
현대로템,13930,16.61,2.16,1812,0.0,0
SKC,50774,0.0,1.62,0,1.34,1100
코웨이,31887,6.67,1.32,6314,3.09,1300
LS,144965,5.91,0.66,16306,1.61,1550
한국금융지주,145614,4.83,0.36,10900,4.36,2300
현대해상,53896,4.5,0.59,7099,6.15,1965
LS ELECTRIC,52919,30.87,1.8,3077,1.16,1100
쌍용C&E,3172,22.17,1.77,254,7.82,440
한진칼,37047,4.08,1.12,10143,0.41,170
아모레G,44015,49.7,0.74,657,0.63,205
롯데지주,100489,10.7,0.25,2387,5.87,1500
농심,398464,21.89,1.1,20081,1.14,5000
키움증권,183566,5.6,0.55,17919,2.99,3000
BGF리테일,55724,13.31,2.68,11203,2.75,4100
CJ,191537,14.61,0.46,6023,2.84,2500
GS리테일,39627,61.14,0.61,395,1.78,430
HD현대일렉트릭,22854,15.31,3.02,4514,0.72,500
한화시스템,10697,0.0,1.23,0,1.9,250
씨에스윈드,21158,0.0,2.76,0,0.85,500
현대차우,0,0.0,0.0,0,6.92,7050
영원무역,64162,3.6,0.86,15377,2.76,1530
LG화학우,0,0.0,0.0,0,3.16,10050
한전기술,14284,132.84,4.39,472,0.45,283
휠라홀딩스,31226,6.88,1.26,5720,4.02,1580
두산,132422,0.0,1.08,0,1.4,2000
한미사이언스,10673,33.47,3.17,1010,0.59,200
한화생명,9020,3.12,0.3,855,0.0,0
팬오션,8404,3.33,0.5,1267,3.55,150
영풍제지,3320,249.23,14.56,194,1.61,779
한국가스공사,118693,1.41,0.21,17317,0.0,0
DB하이텍,37784,3.91,1.33,12858,2.58,1300
BNK금융지주,30468,2.87,0.23,2404,9.06,625
제일기획,11967,9.95,1.59,1913,6.04,1150
HD현대인프라코어,8273,9.17,1.29,1163,2.25,240
에스원,45045,12.45,1.23,4467,4.5,2500
신세계,418209,5.16,0.51,41282,1.76,3750
효성첨단소재,158341,16.58,2.94,28053,3.23,15000
롯데쇼핑,338431,0.0,0.21,0,4.54,3300
JB금융지주,23551,3.43,0.44,2996,8.12,835
KCC,695902,49.41,0.32,4564,3.55,8000
롯데에너지머티리얼즈,31661,45.47,1.36,950,0.69,300
이마트,418373,1.9,0.17,37528,2.81,2000
HL만도,45998,19.39,0.88,2096,1.23,500
이수페타시스,3515,18.52,8.53,1620,0.33,100
한화,70822,1.78,0.36,14169,2.98,750
LIG넥스원,42909,15.07,1.98,5641,1.76,1500
한솔케미칼,70184,11.68,2.35,14099,1.28,2100
CJ대한통운,179031,9.84,0.45,8190,0.62,500
대우건설,9040,3.59,0.49,1227,0.0,0
효성중공업,104660,172.2,1.8,1097,0.0,0
KG모빌리티,5846,0.0,1.61,0,0.0,0
동서,15510,10.19,1.12,1701,4.21,730
현대엘리베이,28992,21.6,1.43,1924,1.2,500
대한전선,7000,72.44,1.86,180,0.0,0
효성티앤씨,283313,139.05,1.32,2686,2.68,10000
에스디바이오센서,28794,1.44,0.45,8997,7.64,990
코스맥스,51220,76.99,2.76,1838,0.0,0
에스엘,35492,10.09,0.96,3360,1.77,600
현대백화점,209760,10.18,0.32,6593,1.94,1300
동원산업,69698,5.87,0.48,5748,3.26,1100
두산퓨얼셀,7988,506.38,2.98,47,0.0,0
현대위아,124563,23.02,0.46,2463,1.23,700
롯데정밀화학,90075,10.3,0.66,5738,5.92,3500
SK네트웍스,10311,16.18,0.62,395,1.88,120
한전KPS,27016,14.94,1.23,2226,3.92,1305
솔루엠,5958,31.18,4.99,954,0.0,0
오뚜기,528433,4.6,0.7,80501,2.43,9000
OCI홀딩스,166136,2.44,0.54,36941,2.77,2500
HD현대건설기계,80387,12.12,0.92,6112,2.36,1750
삼양식품,60733,17.97,3.16,10665,0.73,1400
삼아알미늄,12540,62.6,7.81,1564,0.26,250
한올바이오파마,3319,5510.0,8.3,5,0.0,0
대덕전자,17302,8.07,1.66,3570,1.39,400
코스모화학,6020,119.0,6.5,329,0.0,0
LX세미콘,58432,5.86,1.44,14368,5.34,4500
하이트진로,16906,15.57,1.15,1250,4.88,950
한샘,28093,0.0,2.04,0,1.4,800
효성,128334,80.79,0.49,786,7.09,4500
녹십자,116367,20.02,0.99,5735,1.52,1750
코오롱인더,94856,8.14,0.51,5934,2.69,1300
TCC스틸,8127,40.52,6.18,1239,0.24,120
금호타이어,3920,0.0,1.16,0,0.0,0
DGB금융지주,31812,3.39,0.24,2266,8.45,650
이수스페셜티케미컬,0,0.0,0.0,0,0.0,0
대웅제약,54929,28.54,1.98,3816,0.55,600
덴티움,43354,11.2,2.58,9980,0.27,300
GS건설,56917,3.61,0.25,3997,9.02,1300
한국콜마,29024,0.0,1.85,0,0.93,500
DL이앤씨,114397,3.09,0.27,10130,3.19,1000
SK가스,260823,4.5,0.49,28644,5.04,6500
롯데칠성,150133,10.06,0.85,12754,2.57,3300
종근당,51191,14.02,1.81,6625,1.08,1000
코리안리,22976,7.16,0.35,1132,5.3,430
해성디에스,26311,7.18,2.56,9376,1.34,900
LX인터내셔널,62867,2.03,0.46,14325,10.29,3000
STX,1753,0.0,20.68,0,0.0,0
솔루스첨단소재,15536,0.0,2.04,0,0.31,100
SK오션플랜트,9783,39.41,2.11,524,0.0,0
GKL,6183,0.0,2.83,0,0.0,0
한국앤컴퍼니,40622,6.43,0.28,1749,5.78,650
SK케미칼,124642,6.24,0.5,9910,2.43,1500
롯데웰푸드,228909,18.1,0.49,6160,2.06,2300
롯데관광개발,3223,0.0,4.43,0,0.0,0
더존비즈온,15301,50.96,2.25,676,0.36,123
후성,3882,10.45,2.82,1047,0.18,20
영원무역홀딩스,176464,1.99,0.43,37988,4.04,3050
명신산업,7315,11.97,2.67,1633,0.0,0
JW중외제약,10660,33.66,4.2,1331,0.84,375
